Approved,Corrected,CriticalApproved,Disapproved,Duplicate,HighlyApproved,Irrelevant,NoData,NotSeen,Seen,"_id","_index","_score","_type",editor,timestamp
"14,534","9,293",0,"13,921","2,805",0,32,"7,239",21,368,"RQ-3eYkBUTgwqn-nYckm","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Jul 21, 2023 @ 18:30:08.415"
"14,767","12,689",0,"18,614","3,244",0,47,"4,077",70,383,"Qw-3eYkBUTgwqn-nYMm1","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Jul 21, 2023 @ 18:30:08.314"
"20,153","16,047",35,"28,047","3,373",0,170,"5,613",82,433,"QQ-3eYkBUTgwqn-nYMlx","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Jul 21, 2023 @ 18:30:08.247"
"15,481","10,176",0,"15,824","1,781",1,21,"4,190",20,449,"PQ-3eYkBUTgwqn-nYMkw","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Jul 21, 2023 @ 18:30:08.180"
"12,728","13,923",0,"14,179","2,637",0,15,"5,932",323,289,"Ng-3eYkBUTgwqn-nX8mF","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Jul 21, 2023 @ 18:30:08.009"
"14,534","9,293",0,"13,921","2,805",0,32,"7,239",21,368,"jQ6RdIkBUTgwqn-nTdZf","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Jul 20, 2023 @ 18:30:26.910"
"14,767","12,689",0,"18,614","3,244",0,47,"4,077",70,383,"jA6RdIkBUTgwqn-nTNb3","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Jul 20, 2023 @ 18:30:26.806"
"20,150","16,045",35,"28,044","3,373",0,170,"5,613",90,433,"iw6RdIkBUTgwqn-nTNav","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Jul 20, 2023 @ 18:30:26.734"
"15,479","10,153",0,"15,775","1,780",1,21,"4,189",97,448,"iQ6RdIkBUTgwqn-nTNZr","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Jul 20, 2023 @ 18:30:26.667"
"12,728","13,923",0,"14,179","2,637",0,15,"5,932",323,289,"gg6RdIkBUTgwqn-nS9aw","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Jul 20, 2023 @ 18:30:26.478"
"14,534","9,293",0,"13,921","2,805",0,32,"7,239",21,368,"qw1qb4kBUTgwqn-nwsoh","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Jul 19, 2023 @ 18:30:14.821"
"14,767","12,689",0,"18,614","3,244",0,47,"4,077",70,383,"qg1qb4kBUTgwqn-nwcrj","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Jul 19, 2023 @ 18:30:14.760"
"20,150","16,045",35,"28,044","3,373",0,170,"5,613",90,433,"qA1qb4kBUTgwqn-nwcqp","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Jul 19, 2023 @ 18:30:14.702"
"15,479","10,148",0,"15,764","1,778",1,21,"4,189",116,447,"pg1qb4kBUTgwqn-nwcpi","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Jul 19, 2023 @ 18:30:14.630"
"12,728","13,923",0,"14,179","2,637",0,15,"5,932",323,289,"lw1qb4kBUTgwqn-nwMq9","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Jul 19, 2023 @ 18:30:14.466"
"14,657","12,625",0,"18,510","3,241",0,47,"4,069",219,373,"nAyMa4kBUTgwqn-nT0Ul","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Jul 19, 2023 @ 00:28:24.746"
"20,055","16,012",35,"27,927","3,365",0,169,"5,613",152,425,"mwyMa4kBUTgwqn-nTkXv","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Jul 19, 2023 @ 00:28:24.693"
"15,437","10,081",0,"15,656","1,767",1,21,"4,188",359,433,"mgyMa4kBUTgwqn-nTkWs","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Jul 19, 2023 @ 00:28:24.625"
"12,728","13,923",0,"14,179","2,637",0,15,"5,932",323,289,"kwyMa4kBUTgwqn-nTkUb","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Jul 19, 2023 @ 00:28:24.481"
"14,432","9,254",0,"13,852","2,796",0,32,"7,219",170,358,"kQyMa4kBUTgwqn-nTUXK","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Jul 19, 2023 @ 00:28:24.399"
"14,657","12,625",0,"18,510","3,241",0,47,"4,069",219,373,"-YeLa4kBnjF88R-CQXBh","stalin_operation_statuses_stats",0,"_doc","niloofar.khosravi","Jul 19, 2023 @ 00:27:15.678"
"20,055","16,012",35,"27,927","3,365",0,169,"5,613",152,425,"-IeLa4kBnjF88R-CQHB1","stalin_operation_statuses_stats",0,"_doc","Nastaran.Sabouri","Jul 19, 2023 @ 00:27:15.441"
"15,437","10,081",0,"15,656","1,767",1,21,"4,188",359,433,"94eLa4kBnjF88R-CQHAq","stalin_operation_statuses_stats",0,"_doc","elham.nasimzadeh","Jul 19, 2023 @ 00:27:15.367"
"12,728","13,923",0,"14,179","2,637",0,15,"5,932",323,289,"8IeLa4kBnjF88R-CP3Be","stalin_operation_statuses_stats",0,"_doc","fattaneh.kia","Jul 19, 2023 @ 00:27:15.163"
"14,432","9,254",0,"13,852","2,796",0,32,"7,219",170,358,"7oeLa4kBnjF88R-CP3AS","stalin_operation_statuses_stats",0,"_doc","mahta.bakhshipour","Jul 19, 2023 @ 00:27:15.086"
